datedebutmois,localisation,typecomptectb_centrecoutcode,atelierbtid,categoriecode,montantreel
2010-01-01,1030,5-0500,530.0,3BAD,1181.5
2010-01-01,1030,5-0500,730.0,DWDM,557.87
2010-01-01,1030,5-0500,1030.0,2ACB,33.6
2010-01-01,1030,5-0500,1030.0,2ACX,5.0
2010-01-01,1030,5-0500,1030.0,2ADB,19.65
2010-01-01,1030,5-0500,1030.0,2ECX,44.85
2010-01-01,1030,5-0500,1030.0,3ADC,10.0
2010-01-01,1030,5-0500,1030.0,3ADD,20.0
2010-01-01,1030,5-0500,1030.0,3BAD,237.35
2010-01-01,1030,5-0500,1030.0,3BBD,10.0
2010-01-01,1030,5-0500,1030.0,9ECX,19.99
2010-01-01,1030,5-0500,1030.0,9FXX,58.0
2010-01-01,1030,5-0500,1030.0,AAAA,395.45
2010-01-01,1030,5-0500,1030.0,AHAB,5.0
2010-01-01,1030,5-0500,1030.0,BAAA,10.0
2010-01-01,1030,5-0500,1030.0,BQBB,384.8
2010-01-01,1030,5-0500,1030.0,BQBC,1501.95
2010-01-01,1030,5-0500,1030.0,CFAA,1576.19
2010-01-01,1030,5-0500,1030.0,CGAB,40.46
2010-01-01,1030,5-0500,1030.0,DAAC,99.09
2010-01-01,1030,5-0500,1030.0,DAAJ,321.67
2010-01-01,1030,5-0500,1030.0,DBDL,124.91
2010-01-01,1030,5-0500,1030.0,DBDM,286.5
2010-01-01,1030,5-0500,1030.0,DTAJ,5.0
2010-01-01,1030,5-0500,1030.0,DWDM,14.04
2010-01-01,1030,5-0500,1030.0,FCAC,20.0
2010-01-01,1030,5-0500,1030.0,MBBD,93.09
2010-01-01,1030,5-0500,1030.0,SPAF,13.12
2010-01-01,1030,5-0500,1030.0,YEXX,129.87
2010-01-01,1030,5-0500,1060.0,SEAX,43.39
2010-01-01,1030,5-0500,1340.0,AAAA,32.93
2010-01-01,1030,5-0500,1820.0,DWDM,551.01
2010-01-01,1030,5-1000,1030.0,AAAA,58.0
2010-01-01,1030,5-1000,1030.0,BQBC,320.0
2010-01-01,1030,5-1000,1030.0,CFAA,29.95
2010-01-01,1030,5-1000,1030.0,DBDM,60.0
2010-01-01,1030,5-1000,1030.0,DTAJ,366.8
2010-01-01,1030,5-1000,1620.0,BQBC,190.0
2010-01-01,1030,5-1000,1620.0,CFAA,230.0
2010-01-01,1050,5-0500,480.0,DAAK,58.64
2010-01-01,1050,5-0500,1050.0,5ACC,219.95
2010-01-01,1050,5-0500,1050.0,5AFC,1916.58
2010-01-01,1050,5-0500,1050.0,AHAB,20.37
2010-01-01,1050,5-0500,1050.0,BAAA,244.71
2010-01-01,1050,5-0500,1050.0,BGAA,66.22
2010-01-01,1050,5-0500,1050.0,BJAD,213.71
2010-01-01,1050,5-0500,1050.0,CBBA,50.05
2010-01-01,1050,5-0500,1050.0,CFAA,133.69
2010-01-01,1050,5-0500,1050.0,CJAA,24.38
2010-01-01,1050,5-0500,1050.0,CUFB,21.34
2010-01-01,1050,5-0500,1050.0,DAAK,79.59
2010-01-01,1050,5-0500,1050.0,DWDM,108.24
2010-01-01,1050,5-0500,1050.0,FCAD,55.63
2010-01-01,1050,5-0500,1050.0,GAAG,87.09
2010-01-01,1050,5-0500,1050.0,GABG,208.39
2010-01-01,1050,5-0500,1050.0,GABJ,427.17
2010-01-01,1050,5-0500,1050.0,GBBD,50.0
2010-01-01,1050,5-0500,1050.0,JAAF,5.37
2010-01-01,1050,5-0500,1050.0,JDXX,239.37
2010-01-01,1050,5-0500,1050.0,VHEX,10.0
2010-01-01,1050,5-0500,1050.0,YEXX,1570.3
2010-01-01,1050,5-1000,1050.0,EBBC,0.0
2010-01-01,1050,5-1000,1050.0,VHEX,353.4
2010-01-01,1060,5-0500,1060.0,3ACD,115.53
2010-01-01,1060,5-0500,1060.0,3FXX,42.85
2010-01-01,1060,5-0500,1060.0,5ACC,25.02
2010-01-01,1060,5-0500,1060.0,BBAA,39.77
2010-01-01,1060,5-0500,1060.0,CAAA,22.28
2010-01-01,1060,5-0500,1060.0,CEAA,191.4
2010-01-01,1060,5-0500,1060.0,CEAB,75.94
2010-01-01,1060,5-0500,1060.0,CFAA,18.88
2010-01-01,1060,5-0500,1060.0,DAAK,394.62
2010-01-01,1060,5-0500,1060.0,DBDM,60.0
2010-01-01,1060,5-0500,1060.0,DGDL,40.8
2010-01-01,1060,5-0500,1060.0,DPAC,1228.1
2010-01-01,1060,5-0500,1060.0,DWDM,1379.16
2010-01-01,1060,5-0500,1060.0,FCAD,338.21
2010-01-01,1060,5-0500,1060.0,GBBD,73.6
2010-01-01,1060,5-0500,1060.0,GFDE,28.34
2010-01-01,1060,5-0500,1060.0,PJCX,71.78
2010-01-01,1060,5-0500,1060.0,YEXX,82.03
2010-01-01,1110,5-1000,1275.0,AHAB,60.0
2010-01-01,1110,5-1000,1620.0,AHAB,30.0
2010-01-01,1120,5-0500,1120.0,2ECX,948.4
2010-01-01,1120,5-0500,1120.0,3ADD,514.58
2010-01-01,1120,5-0500,1120.0,AAAA,77.4
2010-01-01,1120,5-0500,1120.0,ABAA,233.2
2010-01-01,1120,5-0500,1120.0,ACAA,462.34
2010-01-01,1120,5-0500,1120.0,BAAA,336.97
2010-01-01,1120,5-0500,1120.0,CFAA,965.4
2010-01-01,1120,5-0500,1120.0,CGAB,1835.69
2010-01-01,1120,5-0500,1120.0,CNED,292.05
2010-01-01,1120,5-0500,1120.0,CUFA,111.94
2010-01-01,1120,5-0500,1120.0,DBDM,5694.66
2010-01-01,1120,5-0500,1120.0,DCAH,79.07
2010-01-01,1120,5-0500,1120.0,DCAJ,1514.42
2010-01-01,1120,5-0500,1120.0,DPAE,23.6
2010-01-01,1120,5-0500,1120.0,FCAC,10.0
2010-01-01,1120,5-0500,1120.0,GBBD,10.0
2010-01-01,1120,5-0500,1120.0,MBBD,42.29
2010-01-01,1120,5-0500,1120.0,RABD,144.25
2010-01-01,1120,5-0500,1120.0,RRBG,10.0
2010-01-01,1120,5-0500,1120.0,TAAD,25.11
2010-01-01,1120,5-0500,1120.0,YEXX,1624.25
2010-01-01,1120,5-1000,1120.0,BAAA,102.0
2010-01-01,1120,5-1000,1120.0,CGAB,507.4
2010-01-01,1120,5-1000,1120.0,DBDM,370.15
2010-01-01,1120,5-1000,1120.0,DCAJ,42.73
2010-01-01,1120,5-1000,1120.0,YEXX,200.0
2010-01-01,1120,5-1000,1620.0,DBDM,1719.2
2010-01-01,1130,5-0500,1120.0,CGAA,356.49
2010-01-01,120,5-0500,120.0,2ACB,21.2
2010-01-01,120,5-0500,120.0,3ACD,121.24
2010-01-01,120,5-0500,120.0,3BBD,2251.67
2010-01-01,120,5-0500,120.0,3PBH,5.0
2010-01-01,120,5-0500,120.0,9ECX,10.0
2010-01-01,120,5-0500,120.0,BAAA,98.8
2010-01-01,120,5-0500,120.0,BBCA,41.89
2010-01-01,120,5-0500,120.0,CFAA,1652.27
2010-01-01,120,5-0500,120.0,CFBA,51.3
2010-01-01,120,5-0500,120.0,CFBB,512.53
2010-01-01,120,5-0500,120.0,CGAB,1813.39
2010-01-01,120,5-0500,120.0,CGBC,170.28
2010-01-01,120,5-0500,120.0,DBDM,450.67
2010-01-01,120,5-0500,120.0,DWDM,99.26
2010-01-01,120,5-0500,120.0,FCAF,4.49
2010-01-01,120,5-0500,120.0,SKDX,1257.58
2010-01-01,120,5-0500,120.0,YEXX,304.24
2010-01-01,120,5-1000,120.0,CFAA,400.0
2010-01-01,120,5-1000,120.0,CFBA,288.79
2010-01-01,1220,5-0500,530.0,ABAA,227.87
2010-01-01,1220,5-0500,530.0,SQLE,6.31
2010-01-01,1220,5-0500,730.0,CGAB,0.0
2010-01-01,1220,5-0500,1220.0,2ECX,183.66
2010-01-01,1220,5-0500,1220.0,2LBX,99.9
2010-01-01,1220,5-0500,1220.0,3ABC,0.0
2010-01-01,1220,5-0500,1220.0,3BBD,9.97
2010-01-01,1220,5-0500,1220.0,4DEE,31.09
2010-01-01,1220,5-0500,1220.0,4DXX,1094.28
2010-01-01,1220,5-0500,1220.0,4QBX,1366.5
2010-01-01,1220,5-0500,1220.0,6PBX,162.6
2010-01-01,1220,5-0500,1220.0,9GEB,12.0
2010-01-01,1220,5-0500,1220.0,AAAA,517.9
2010-01-01,1220,5-0500,1220.0,ABAA,12.54
